route,title,title_chars,description,desc_chars,h1,og_image,canonical
"/","HVAC PT Charts — Verified Pressure-Temperature Data",51,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"HVAC Pressure-Temperature Charts","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a","https://hvacptcharts.com/"
"/_global-error/","500: This page couldn’t load",28,"",0,"This page couldn’t load","",""
"/_not-found/","404: This page could not be found.",34,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"404","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/about-us/","About HVAC PT Charts",20,"About HVAC PT Charts: a field reference for HVAC professionals with verified pressure-temperature data for 61 refrigerants, calculators for daily service work, and structural guarantees that the data is correct.",211,"About HVAC PT Charts","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/about-us/"
"/calculators-hub/","HVAC Calculators: Superheat, Subcooling, Charge, PT (Free)",58,"9 free HVAC calculators built on verified CoolProp 7.2.0 data: superheat, subcooling, PT lookup, combined diagnostic, refrigerant charge, retrofit compatibility.",161,"HVAC Calculators","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/calculators-hub/"
"/carrier-410a-charging-chart/","Carrier R410A Charging Chart: Superheat By WB & Outdoor Temp",60,"Carrier R410A fixed-orifice charging chart: target superheat at every outdoor DB × indoor WB combination, matching R410A saturation, plus worked examples.",154,"Carrier R410A Charging Chart: Target Superheat by Fixed-Orifice Ambient","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/carrier-410a-charging-chart/"
"/contact-us/","Contact HVAC PT Charts",22,"How to get in touch with HVAC PT Charts — corrections, data questions, suggestions.",83,"Contact","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/contact-us/"
"/dev/svg-gallery/","SVG component gallery (dev) | HVAC PT Charts",44,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"SVG component preview","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/dev/svg-gallery/gwp-comparison-bar/","SVG component gallery (dev) | HVAC PT Charts",44,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"SVG component preview","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/dev/svg-gallery/pt-curve/","SVG component gallery (dev) | HVAC PT Charts",44,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"SVG component preview","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/dev/svg-gallery/safety-class-chip/","SVG component gallery (dev) | HVAC PT Charts",44,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"SVG component preview","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/duct-size-calculator/","Duct Size Calculator: Round & Rectangular From CFM (Manual D)",61,"Free HVAC duct size calculator: enter CFM and get diameter or width×height using the ACCA Manual D equal-friction method. Includes friction rate reference.",155,"Duct Size Calculator — Round + Rectangular from CFM","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/duct-size-calculator/"
"/guides-hub/","HVAC Guides: Commissioning, Safety, Troubleshooting (Free)",58,"Sourced HVAC field guides: PT chart reading, superheat and subcooling fundamentals, refrigerant comparisons, ASHRAE 34 safety, AIM Act regulatory context.",154,"HVAC Guides","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/guides-hub/"
"/high-head-pressure-causes/","High Head Pressure Causes: 8-Cause HVAC Diagnostic Tree",55,"8 root causes of HVAC high head pressure: condenser fouling, overcharge, non-condensables, restriction, high ambient, compressor wear. Diagnostic decision tree.",160,"High Head Pressure Causes","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/high-head-pressure-causes/"
"/hvac-building-automation-guide/","HVAC Building Automation: BMS, Guideline 36, Analytics (Free 101)",65,"Commercial building management systems (BMS): architecture, ASHRAE Guideline 36 sequences, analytics, and cybersecurity for HVAC-integrated buildings.",150,"HVAC Building Automation Guide — Commercial BMS Architecture, ASHRAE Guideline 36 Sequences, Points List Methodology, Integration with Lighting + Security + Fire + Elevator, Cybersecurity per NIST + ISA/IEC 62443, and Cloud-Connected BAS","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/hvac-building-automation-guide/"
"/hvac-commissioning-guide/","HVAC Commissioning Guide: Manual T, Ducts, Blower (Free 101)",60,"Step-by-step HVAC commissioning per ACCA QI Standard 5: Manual T airflow, refrigerant verification, duct + blower-door testing, IECC leakage limits.",148,"HVAC Commissioning Guide — Manual T, Duct Testing, Blower Door, and Quality Installation Verification","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/hvac-commissioning-guide/"
"/hvac-controls-automation-guide/","HVAC Controls Guide: Thermostats, Zoning, BAS (Free 101)",56,"HVAC controls landscape: thermostats, zoning, building automation systems, and Matter smart-home integration. What to specify at each system scale.",147,"HVAC Controls & Automation Guide — Thermostats, Zoning, Building Automation, Smart Home Integration","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/hvac-controls-automation-guide/"
"/hvac-duct-design-guide/","HVAC Duct Design Guide: Manual D, Sizing, Static Pressure (Free 101)",68,"ACCA Manual D duct design walkthrough: equal-friction method, sizing, static pressure budget, fittings, sealing per IECC. Companion to the duct size calculator.",160,"HVAC Duct Design Guide — Manual D Explained, From System Topology to Static Pressure Budgeting","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/hvac-duct-design-guide/"
"/hvac-ductless-mini-split-guide/","Ductless Mini-Split Guide: Cold-Climate, A2L, VRF (Free 101)",60,"Ductless mini-split and VRF systems for residential and light commercial: cold-climate heat pump performance, A2L transition, and IRA tax credit qualifying models.",163,"Ductless Mini-Split & VRF Guide — Single-Zone, Multi-Zone, Cold-Climate Heat Pumps, A2L Refrigerant Transition, Installation, Brand Comparison, IRA Tax Credits, and Commercial VRF","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/hvac-ductless-mini-split-guide/"
