route,title,title_chars,description,desc_chars,h1,og_image,canonical
"/","HVAC PT Charts — Verified Pressure-Temperature Data",51,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"HVAC Pressure-Temperature Charts","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a","https://hvacptcharts.com/"
"/_global-error/","500: This page couldn’t load",28,"",0,"This page couldn’t load","",""
"/_not-found/","404: This page could not be found.",34,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"404","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/about-us/","About HVAC PT Charts",20,"About HVAC PT Charts: a field reference for HVAC professionals with verified pressure-temperature data for 61 refrigerants, calculators for daily service work, and structural guarantees that the data is correct.",211,"About HVAC PT Charts","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/about-us/"
"/calculators-hub/","HVAC Calculators — Superheat, Subcooling, PT, Comparison, Diagnostic",68,"Free HVAC calculators built on verified CoolProp 7.2.0 saturation data: superheat (dew curve), subcooling (bubble curve), PT lookup, combined diagnostic, charge calculator, retrofit compatibility, comparison tool, saturation properties. Imperial and metric units, mobile-friendly, no signup.",291,"HVAC Calculators","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/calculators-hub/"
"/carrier-410a-charging-chart/","Carrier R-410A Charging Chart — Target Superheat by Outdoor & Wet-Bulb (with PSIG Reference) | HVAC PT Charts",109,"The Carrier R-410A fixed-orifice charging chart: target superheat at every outdoor dry-bulb × indoor wet-bulb combination, plus the matching R-410A saturation pressures so you can verify charge in one visit. Step-by-step procedure, three worked examples, common-error diagnosis, and an interactive lookup.",305,"The Carrier R-410A Charging Chart — Target Superheat for Every Fixed-Orifice Operating Condition","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/carrier-410a-charging-chart/"
"/contact-us/","Contact HVAC PT Charts",22,"How to get in touch with HVAC PT Charts — corrections, data questions, suggestions.",83,"Contact","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/contact-us/"
"/dev/svg-gallery/","SVG component gallery (dev) | HVAC PT Charts",44,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"SVG component preview","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/dev/svg-gallery/gwp-comparison-bar/","SVG component gallery (dev) | HVAC PT Charts",44,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"SVG component preview","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/dev/svg-gallery/pt-curve/","SVG component gallery (dev) | HVAC PT Charts",44,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"SVG component preview","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/dev/svg-gallery/safety-class-chip/","SVG component gallery (dev) | HVAC PT Charts",44,"Verified saturation pressure-temperature charts for 61 refrigerants, plus calculators for superheat, subcooling, charge, and retrofit. Data sourced from CoolProp and manufacturer datasheets.",190,"SVG component preview","https://hvacptcharts.com/opengraph-image?fdcf6264bfefd77a",""
"/duct-size-calculator/","Duct Size Calculator — Round + Rectangular Sizing from CFM (ACCA Manual D Equal-Friction Method) | HVAC PT Charts",113,"Calculate round duct diameter from CFM and friction rate using the ACCA Manual D equal-friction method, plus Huebscher rectangular equivalents. Three worked examples (3-ton residential trunk, branch run, commercial supply), velocity limits, altitude correction, common errors, full sourcing.",291,"Duct Size Calculator — Round + Rectangular from CFM","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/duct-size-calculator/"
"/guides-hub/","HVAC Guides — Refrigerant, Charging, and System References",58,"Reference guides for HVAC professionals: PT chart reading, superheat and subcooling fundamentals, refrigerant comparisons, safety classification, and regulatory context.",169,"HVAC Guides","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/guides-hub/"
"/high-head-pressure-causes/","High Head Pressure Causes — HVAC Diagnostic Decision Tree (8 Root Causes)",73,"Diagnostic decision tree for high-side (head) pressure problems on HVAC systems. Eight root causes — condenser fouling, overcharge, non-condensables, restriction, high ambient, compressor wear — with diagnostic procedures, service problems, and SVG decision flow. Sourced from ACCA Manual T, ASHRAE Handbook of Refrigeration 2022.",330,"High Head Pressure Causes","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/high-head-pressure-causes/"
"/hvac-building-automation-guide/","HVAC Building Automation Guide — Commercial BMS Architecture, ASHRAE Guideline 36, Cybersecurity | HVAC PT Charts",113,"Complete commercial BMS/BAS reference: 4-tier system architecture (field bus → controllers → supervisors → workstations), ASHRAE Guideline 36 high-performance sequences of operation, points list methodology + Project Haystack tagging, system integration with lighting + security + fire + elevator + EMS, commercial BMS vendor architecture deep dive (Johnson Controls Metasys + OpenBlue, Honeywell + Niagara, Siemens Desigo, Schneider Electric EcoStruxure, Carrier Automated Logic, Trane Tracer, Distech, Reliable Controls, KMC, Delta Controls), cybersecurity per NIST CSF + NIST SP 800-82 + ISA/IEC 62443, cloud-connected BAS + IoT architecture, BMS RFP + procurement process, operator training + competency, BMS-as-a-Service models, smart building + digital twin trends. Sourced from ASHRAE, NIST, ISA, AHRI.",809,"HVAC Building Automation Guide — Commercial BMS Architecture, ASHRAE Guideline 36 Sequences, Points List Methodology, Integration with Lighting + Security + Fire + Elevator, Cybersecurity per NIST + ISA/IEC 62443, and Cloud-Connected BAS","https://hvacptcharts.com/opengraph-image","https://hvacptcharts.com/hvac-building-automation-guide/"
